,이름,"장소(안암, 성여입, 혜화)",주소,위도,경도,전화번호,영업시간,가격대,category,categroy_detail,음주여부,대표메뉴,메뉴1,메뉴2,메뉴3,메뉴4,메뉴5,date_concept,naver_link,catch_table_link,insta_link,scrap_count,writer
0,춘자,안암,서울 성북구 안암동5가 104-127,37.58435738,127.0303603,02-925-2810,,,,,,,,,,,,,,,,,
1,제주고깃집,안암,서울 성북구 보문동1가 9-8,37.58789177,127.0182639,02-921-0505,,,,,,,,,,,,,,,,,
2,황제곱창,안암,서울 서대문구 창천동 13-33,37.5573781,126.9377644,,,,,,,,,,,,,,,,,,
3,황소식당,안암,서울 성북구 안암동5가 134-47,37.58259193,127.0283806,02-922-7379,,,,,,,,,,,,,,,,,
4,고품콩,안암,서울 성북구 안암동5가 104-271,37.58377,127.0301019,02-2605-7217,,,,,,,,,,,,,,,,,
5,쿠이도라쿠,안암,서울 성북구 안암동5가 85-3,37.58499505,127.0312889,02-929-9290,,,,,,,,,,,,,,,,,
6,안암꼬치,안암,서울 성북구 안암동5가 104-20,37.58362944,127.0301336,,,,,,,,,,,,,,,,,,
7,소담식당,안암,서울 서대문구 창천동 13-83,37.55740252,126.9379477,070-8152-1177,,,,,,,,,,,,,,,,,
8,고대고기,안암,서울 성북구 안암동5가 101-119,37.58650189,127.0297951,02-921-5567,,,,,,,,,,,,,,,,,
9,본샤브칼국수,안암,서울 성북구 안암동5가 102-66,37.58548932,127.029215,02-922-6892,,,,,,,,,,,,,,,,,
10,매스플레이트,안암,서울 성북구 안암동5가 101-27,37.58712907,127.0294647,,,,,,,,,,,,,,,,,,
11,오니,안암,서울 종로구 교남동 161,37.56922621,126.9636986,,,,,,,,,,,,,,,,,,
12,안암고깃집,안암,서울 성북구 안암동5가 86-142,37.585478,127.0312167,02-929-6900,,,,,,,,,,,,,,,,,
13,정상호프,안암,서울 성북구 안암동5가 101-47,37.58649836,127.0294916,02-921-4284,,,,,,,,,,,,,,,,,
14,미소초밥,안암,서울 성북구 안암동5가 101-15,37.58729494,127.029107,02-766-3539,,,,,,,,,,,,,,,,,
