,name,cate_1,cate_2,cate_3,state,dong,lon,lat
42,러쉬,종합소매점,편의점,체인화 편의점,성북구,길음2동,37.6083915431599,127.028725560472
61,오리고,종합소매점,편의점,체인화 편의점,성북구,길음2동,37.6083915431599,127.028725560472
108,짱노래연습장,무도/유흥/가무,노래방,노래연습장 운영업,성북구,성북동,37.5949933083996,127.00282072529801
132,본죽,별식/퓨전요리,죽전문점,한식 음식점업,동대문구,청량리동,37.58128693785579,127.045132208848
141,본도시락,패스트푸드,도시락전문점,한식 음식점업,성북구,안암동,37.5822782624666,127.028589396712
270,던킨도너츠동대문홈플러스,패스트푸드,도너츠전문,제과점업,동대문구,용신동,37.5745404145486,127.03875415289
300,등대횟집,일식/수산물,횟집,한식 음식점업,동대문구,이문2동,37.6027249990216,127.06681769759399
324,샛별슈퍼,종합소매점,수퍼마켓,슈퍼마켓,성북구,삼선동,37.5834835858635,127.01097905321899
411,콘서트,유흥주점,룸살롱/단란주점,일반유흥 주점업,동대문구,장안2동,37.5698838442562,127.07048780737301
435,기사식당,한식,기사식당,한식 음식점업,동대문구,제기동,37.5866284329647,127.03495282308701
454,봉구비어답십리사거리점41,유흥주점,호프/맥주,기타 주점업,동대문구,답십리2동,37.573170850074,127.05775648932699
475,원조바지락손칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,성북구,종암동,37.595009238469,127.036192149597
522,보광당,시계/귀금속소매,시계/귀금속,시계 및 귀금속 소매업,성북구,성북동,37.589008832968105,127.00690892022301
554,갈치와고갈비,일식/수산물,갈치/생선구이,한식 음식점업,동대문구,용신동,37.5751428284376,127.02541034642701
555,삼보상회,종합소매점,잡화점,그외 기타 종합 소매업,동대문구,제기동,37.58183886111561,127.043189104361
630,피쉬마루,일식/수산물,횟집,한식 음식점업,성북구,석관동,37.613635165206,127.064359382838
745,종로곱창,한식,곱창/양구이전문,한식 음식점업,성북구,삼선동,37.588775385088795,127.00807828894101
788,경동슈퍼,종합소매점,수퍼마켓,슈퍼마켓,동대문구,제기동,37.578580909585,127.03922299816999
807,세븐일레븐,종합소매점,편의점,체인화 편의점,성북구,정릉4동,37.6131117673589,127.01014504851001
831,CU,종합소매점,편의점,체인화 편의점,성북구,안암동,37.5865588181345,127.03195321519199
871,네박자노래방,무도/유흥/가무,노래방,노래연습장 운영업,성북구,동선동,37.590647643836796,127.018629373645
1049,이마트에브리데이,제과제빵떡케익,제과점,제과점업,동대문구,답십리1동,37.5674509608506,127.053470425815
1177,카페비원,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,안암동,37.587486126285796,127.029665321878
1227,신창상회,종합소매점,종합소매,그외 기타 종합 소매업,동대문구,제기동,37.5790306472822,127.039126646871
1252,홍탁집,한식,한식/백반/한정식,한식 음식점업,동대문구,장안1동,37.5672606190345,127.068052694673
1268,대지슈퍼,종합소매점,수퍼마켓,슈퍼마켓,동대문구,전농1동,37.577169656803996,127.055272030431
1297,도꼬돈카츠,일식/수산물,음식점-일식,일식 음식점업,성북구,정릉3동,37.607486617159296,127.00020758066401
1396,나래김밥,분식,라면김밥분식,분식 및 김밥 전문점,동대문구,용신동,37.5770282709935,127.02459328754
1420,보리보리,한식,한식/백반/한정식,한식 음식점업,성북구,정릉3동,37.6083196689768,127.003888685359
1469,남원추어탕,한식,추어탕전문,한식 음식점업,동대문구,장안1동,37.56515344669621,127.068214779855
1473,金莎KTV노래연습장,무도/유흥/가무,노래방,노래연습장 운영업,성북구,안암동,37.5861447405502,127.029807283399
1477,김밥천국,분식,라면김밥분식,분식 및 김밥 전문점,성북구,종암동,37.59819250976361,127.034305206537
1599,빵이가득한집,제과제빵떡케익,제과점,제과점업,성북구,석관동,37.6094265056584,127.060855695394
