,이름,"장소(안암, 성여입, 혜화)",주소,위도,경도,전화번호,영업시간,가격대,category,categroy_detal,음주여부,대표메뉴,메뉴 5가지,데이트 컨셉
0,춘자,,,,,,,,,,,,,
1,제주고깃집,,,,,,,,,,,,,
2,황제곱창,,,,,,,,,,,,,
3,황소식당,,,,,,,,,,,,,
4,고품콩,,,,,,,,,,,,,
5,쿠이도라쿠,,,,,,,,,,,,,
6,안암꼬치,,,,,,,,,,,,,
7,소담식당,,,,,,,,,,,,,
8,고대고기,,,,,,,,,,,,,
9,본샤브칼국수,,,,,,,,,,,,,
10,매스플레이트,,,,,,,,,,,,,
11,오니,,,,,,,,,,,,,
12,안암고깃집,,,,,,,,,,,,,
13,정상호프,,,,,,,,,,,,,
14,미소초밥,,,,,,,,,,,,,
15,늘안암,,,,,,,,,,,,,
19,나그네파전,,,,,,,,,,,,,
22,마이셰프,,,,,,,,,,,,,
23,모이리타,,,,,,,,,,,,,
26,미스터국밥,,,,,,,,,,,,,
28,북경양꼬치,,,,,,,,,,,,,
29,토로생선구이,,,,,,,,,,,,,
31,사랑마라탕,,,,,,,,,,,,,
32,야마토텐동,,,,,,,,,,,,,
33,만복식당,,,,,,,,,,,,,
35,프로마치,,,,,,,,,,,,,
36,정다래 함박스텍,,,,,,,,,,,,,
37,석이네초밥집,,,,,,,,,,,,,
38,모노,,,,,,,,,,,,,
39,산적,,,,,,,,,,,,,
40,언니네반점,,,,,,,,,,,,,
41,오샬,,,,,,,,,,,,,
43,치폴레옹,,,,,,,,,,,,,
45,고래돈까스,,,,,,,,,,,,,
46,우승식당,,,,,,,,,,,,,
47,신의주부대찌개,,,,,,,,,,,,,
48,온반,,,,,,,,,,,,,
49,소몰이,,,,,,,,,,,,,
50,돈까스하우스,,,,,,,,,,,,,
51,히포크라테스스프,,,,,,,,,,,,,
52,이세 돈까스,,,,,,,,,,,,,
53,안암동닭한마리,,,,,,,,,,,,,
54,양지식당,,,,,,,,,,,,,
55,영철스트리트버거,,,,,,,,,,,,,
56,오징어나라,,,,,,,,,,,,,
57,짱가네 돈냉면,,,,,,,,,,,,,
58,안암아줌마치킨고대점,,,,,,,,,,,,,
59,장위동유성집,,,,,,,,,,,,,
60,두부촌맷돌할매숨두부,,,,,,,,,,,,,
61,야마토카츠,,,,,,,,,,,,,
62,더씨,,,,,,,,,,,,,
63,다돈참숯화로구이,,,,,,,,,,,,,
64,등촌샤브칼국수,,,,,,,,,,,,,
65,이공김밥,,,,,,,,,,,,,
66,연어사랑,,,,,,,,,,,,,
67,수저가,,,,,,,,,,,,,
68,탄,,,,,,,,,,,,,
69,내가찜한닭 고려대점,,,,,,,,,,,,,
70,모심한정식,,,,,,,,,,,,,
71,꽌부이,,,,,,,,,,,,,
72,어흥식당,,,,,,,,,,,,,
73,비나레스토랑성북점,,,,,,,,,,,,,
74,특별식당,,,,,,,,,,,,,
75,서울쌈냉면,,,,,,,,,,,,,
76,국수사랑,,,,,,,,,,,,,
77,은화수식당 고려대점,,,,,,,,,,,,,
78,팔백집,,,,,,,,,,,,,
79,일곱평브런치,,,,,,,,,,,,,
80,베나레스 Benares Indian Restaurant,,,,,,,,,,,,,
81,백소정 본점,,,,,,,,,,,,,
82,에베레스트,,,,,,,,,,,,,
83,청년다방 고대안암점,,,,,,,,,,,,,
84,신의주순대와쭈꾸미안암점,,,,,,,,,,,,,
85,안암다락,,,,,,,,,,,,,
86,서대문꼼장어,,,,,,,,,,,,,
87,닭잡는파로,,,,,,,,,,,,,
88,비야부대찌개,,,,,,,,,,,,,
89,고른햇살,,,,,,,,,,,,,
90,해곤선생,,,,,,,,,,,,,
91,가정식당,,,,,,,,,,,,,
92,비나레스토랑,,,,,,,,,,,,,
93,친구네,,,,,,,,,,,,,
94,정차돌,,,,,,,,,,,,,
95,고대서서갈비,,,,,,,,,,,,,
96,고고인디안쿠진,,,,,,,,,,,,,
97,스시진,,,,,,,,,,,,,
98,유자유김치떡볶이본점,,,,,,,,,,,,,
99,달래진족,,,,,,,,,,,,,
100,미각 고대본점,,,,,,,,,,,,,
101,마카나이 고대점,,,,,,,,,,,,,
102,차이니웍,,,,,,,,,,,,,
103,The melting,,,,,,,,,,,,,
104,요감만족,,,,,,,,,,,,,
105,엄마손식당,,,,,,,,,,,,,
106,호아빈 고대점,,,,,,,,,,,,,
107,신룽푸마라탕,,,,,,,,,,,,,
108,디어브레드 안암본점,,,,,,,,,,,,,
109,제기집,,,,,,,,,,,,,
110,원이자카야,,,,,,,,,,,,,
111,삼성통닭본점,,,,,,,,,,,,,
112,고대양꼬치,,,,,,,,,,,,,
113,사마리칸트,,,,,,,,,,,,,
114,상전 한상차림 밥상,,,,,,,,,,,,,
115,맛닭꼬안암고대점,,,,,,,,,,,,,
116,큰맘원조할매순대국 고려대점,,,,,,,,,,,,,
117,하노이별 고대안암점,,,,,,,,,,,,,
118,미가박당,,,,,,,,,,,,,
119,무아국수집,,,,,,,,,,,,,
120,샌디앤샐리,,,,,,,,,,,,,
121,미뇽,,,,,,,,,,,,,
122,레드컵스 고려대점,,,,,,,,,,,,,
123,카페 파인,,,,,,,,,,,,,
124,싸움의 고수,,,,,,,,,,,,,
125,치즈를 사랑한 찜닭 고려대점,,,,,,,,,,,,,
126,후문식당,,,,,,,,,,,,,
127,와플앨리,,,,,,,,,,,,,
128,한잔의 추억,,,,,,,,,,,,,
129,뚝닭,,,,,,,,,,,,,
130,노브랜드버거 고려대점,,,,,,,,,,,,,
131,신원오리,,,,,,,,,,,,,
